Date,Time,Temperature,Vibration,Current_P_R,Current_P_S,Current_P_T,Volt_P_R,Volt_P_S,Volt_P_T
2026-05-18,08:16:38,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,08:56:25,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,08:56:38,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,08:57:41,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:01:33,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:09:48,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:10:29,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:12:14,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:14:13,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:16:47,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:17:30,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:17:48,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:19:31,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:22:01,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:27:06,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:46:13,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:52:03,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:53:25,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
2026-05-18,09:54:43,115.0,2.1,7.7,2.1,1.0,221.3,220.1,33.0
